id_proposicao,obj_votacao,data,cod_sessao,hora,id_votacao
2192459,REQUERIMENTO DE RETIRADA DE PAUTA,2019-07-10,16861,12:51,168611251
2192459,SUBSTITUTIVO DA COMISSÃO ESPECIAL,2019-07-10,16862,19:33,168621933
2192459,EMA 8 - PODEMOS - EMENDA AGLUTINATIVA Nº 8,2019-07-11,16864,00:20,168640020
2192459,DTQ 95 - PSB - § 14 DO ART. 195 DA CONSTITUIÇÃO FEDERAL ...,2019-07-11,16863,21:04,168632104
2192459,REQUERIMENTO DE RETIRADA DE PAUTA,2019-07-10,16862,16:52,168621652
2192459,REQUERIMENTO DE RETIRADA DE PAUTA,2019-07-11,16863,18:06,168631806
2192459,REQUERIMENTO DE RETIRADA DE PAUTA,2019-07-11,16864,22:39,168642239
2192459,REQUERIMENTO DE RETIRADA DE PAUTA,2019-07-12,16865,12:36,168651236
2192459,REQUERIMENTO DE RETIRADA DE PAUTA,2019-07-12,16866,17:05,168661705
2192459,REQUERIMENTO DE RETIRADA DE PAUTA,2019-08-06,16886,19:53,168861953
2192459,REQUERIMENTO DE ADIAMENTO DA VOTAÇÃO POR 5 SESSÕES,2019-08-06,16886,21:33,168862133
2192459,"DTQ. 1 - PSOL - §3º, DO ART. 239, CONST. DO ART.1º DA REDAÇÃO ...",2019-08-07,16889,18:52,168891852
2192459,"DTQ. 3 - PDT -  INC. IV, DO ART. 20 DA PEC 6-G/2019",2019-08-07,16889,20:16,168892016
2192459,DTQ. 5 - NOVO -  ART. 20 DO TEXTO DO 2º TURNO DA PEC 6/2019,2019-08-07,16889,19:56,168891956
2192459,REQ. DE VOTAÇÃO EM GLOBO DA ADMISSIBILIDADE DOS DESTAQUES SIMPLES,2019-08-06,16887,23:21,168872321
2192459,CONSULTA AO PLENÁRIO - VOTAÇÃO PARCELADA,2019-08-06,16887,22:37,168872237
2192459,REQUERIMENTO DE ENCERRAMENTO DA DISCUSSÃO,2019-08-06,16886,20:54,168862054
2192459,"DTQ. 7 - PCdoB - INC. V, DO ART. 201, CONST. DO ART. 1º DA PEC 6/2019",2019-08-07,16888,15:34,168881534
2192459,DTQ. 8 - PSB -  §1º DO ART. 21 DA REDAÇÃO PARA O SEGUNDO TURNO DA PEC,2019-08-07,16889,21:07,168892107
2192459,DTQ. 9 - PT -  ART. 26 DA PEC 6/2019,2019-08-07,16889,21:46,168892146
