id_parlamentar,casa,nome_eleitoral,uf,partido_atual,partido_eleicao,total_receita_partido,total_receita_candidato,indice_investimento_partido
160669,camara,GENECIAS NORONHA,CE,SOLIDARIEDADE,SOLIDARIEDADE,690000,715250,0.0237102881076652
178966,camara,GEOVANIA DE SÁ,SC,PSDB,PSDB,2000000,2068810,0.0250665794335749
74383,camara,GIACOBO,PR,PL,PL,2000000,2182716.81,0.0184944709413729
74270,camara,GILBERTO NASCIMENTO,SP,PSC,PSC,1190000,1291060.71,0.0772610628570955
160673,camara,GIOVANI CHERINI,RS,PL,PL,2200000,2314456.97,0.017640826720358
178996,camara,GIOVANI FELTES,RS,MDB,MDB,1500000,1861703.47,0.0117712051115445
152605,camara,GLAUBER BRAGA,RJ,PSOL,PSOL,304932.53,380718.59,0.0675518282818437
74419,camara,GONZAGA PATRIOTA,PE,PSB,PSB,1300145.2,1484245.2,0.0203130122673322
178964,camara,HEITOR SCHUCH,RS,PSB,PSB,1300600,1344700,0.0194714369476389
178873,camara,HELDER SALOMÃO,ES,PT,PT,900000,919049.77,0.00746491493725725
178909,camara,HÉLIO LEITE,PA,DEM,DEM,1044000,1052810,0.0132516330846034
73482,camara,HENRIQUE FONTANA,RS,PT,PT,900000,1015344,0.00915706983471061
178981,camara,HERCULANO PASSOS,SP,MDB,MDB,1500000,1509416.66,0.0163109042018117
73772,camara,HERMES PARCIANELLO,PR,MDB,MDB,1500000,1610965.2,0.0135748984877269
178884,camara,HILDO ROCHA,MA,MDB,MDB,1502500,1514823.86,0.0100843927068588
178959,camara,HIRAN GONÇALVES,RR,PP,PP,1726297.2,2090116.56,0.0172776595037304
141450,camara,HUGO LEAL,RJ,PSD,PSD,950000,1917659.74,0.0259200447099192
160674,camara,HUGO MOTTA,PB,REPUBLICANOS,PRB,894538.16,1005708.16,0.00946590273488516
67138,camara,IRACEMA PORTELLA,PI,PP,PP,2404000,2500500,0.0147106264382589
73531,camara,IVAN VALENTE,SP,PSOL,PSOL,303855.53,586837.81,0.0522430300035265
74848,camara,JANDIRA FEGHALI,RJ,PCdoB,PCdoB,1319160,1591343.2,0.122950736051163
74273,camara,JEFFERSON CAMPOS,SP,PSB,PSB,1300000,1342596,0.0269683710569045
160570,camara,JERÔNIMO GOERGEN,RS,PP,PP,1492040,2336389,0.0117156268151458
178839,camara,JÉSSICA SALES,AC,MDB,MDB,2000000,2409200,0.00915985321226353
178842,camara,JHC,AL,PSB,PSB,1308000,1395400,0.0121794185021173
160531,camara,JHONATAN DE JESUS,RR,REPUBLICANOS,PRB,925540,945545,0.0137158128178755
74366,camara,JOÃO CAMPOS,GO,REPUBLICANOS,PRB,1315830,1564314.78,0.0146057015257217
141458,camara,JOÃO CARLOS BACELAR,BA,PL,PL,2000000,2262703.75,0.0167354905849724
178970,camara,JOÃO DANIEL,SE,PT,PT,903000,1075358.84,0.0109770037357782
112437,camara,JOÃO MARCELO SOUZA,MA,MDB,MDB,1502500,1502500,0.0100843927068588
178910,camara,JOAQUIM PASSARINHO,PA,PSD,PSD,5357.6,284946.5,5.79538432950834e-5
178857,camara,JORGE SOLLA,BA,PT,PT,793604,1193416.75,0.00842616703110965
141464,camara,JOSÉ AIRTON FÉLIX CIRILO,CE,PT,PT,900000,1028425.87,0.00858621860995259
141470,camara,JOSÉ GUIMARÃES,CE,PT,PT,1129047.8,1183262.8,0.0107713902576511
160619,camara,JOSÉ NUNES,BA,PSD,PSD,940000,1244167.53,0.0149907356539496
74079,camara,JOSÉ PRIANTE,PA,MDB,MDB,1500000,1532481,0.00833201398262201
74554,camara,JOSÉ ROCHA,BA,PL,PL,1400000,1432599.54,0.0117148434094806
74317,camara,JÚLIO CESAR,PI,PSD,PSD,750013.2,936780.5,0.00893230288242864
73586,camara,JÚLIO DELGADO,MG,PSB,PSB,1400000,1617570,0.0238155632699555
178886,camara,JUSCELINO FILHO,MA,DEM,DEM,716000,899506.2,0.0109814190389567
151208,camara,LAERCIO OLIVEIRA,SE,PP,PP,1731095.16,1774533.58,0.0162400757309426
178832,camara,LEANDRE,PR,PV,PV,1100000,1218867.24,0.0711559548167968
74156,camara,LEONARDO MONTEIRO,MG,PT,PT,787048.31,860395.08,0.00909900652569812
74299,camara,LEÔNIDAS CRISTINO,CE,PDT,PDT,500000,619350,0.0249330299280425
74585,camara,LINCOLN PORTELA,MG,PL,PL,1630000,1654850,0.0148512300882643
196358,camara,LOURIVAL GOMES,RJ,PSL,PSL,0,201791.49,0
178879,camara,LUCAS VERGILIO,GO,SOLIDARIEDADE,SOLIDARIEDADE,650000,1780790.73,0.0227423974088903
74478,camara,LUCIANO BIVAR,PE,PSL,PSL,1800000,1950000,0.286642659599128
178931,camara,LUCIANO DUCCI,PR,PSB,PSB,1600000,2075722.77,0.0276242120427099
178954,camara,LUCIO MOSQUINI,RO,MDB,MDB,1500000,1864088.5,0.00889644607679422
160510,camara,LUIS TIBÉ,MG,AVANTE,AVANTE,2265085.76,2280696.96,0.201186537479054
162332,camara,LUIZ NISHIMORI,PR,PL,PL,2000000,2431125,0.0184944709413729
74784,camara,LUIZA ERUNDINA,SP,PSOL,PSOL,298597.53,326733.33,0.0513390021855746
178866,camara,LUIZIANNE LINS,CE,PT,PT,1000000,1020720,0.00954024289994732
166402,camara,MAGDA MOFATTO,GO,PL,PL,2000000,2371063.48,0.0153111147549277
146788,camara,MARCELO ARO,MG,PP,PHS,1865546.94,1876696.94,0.268365487154594
178983,camara,MARCIO ALVINO,SP,PL,PL,958855,958868.2,0.0106538431882302
179001,camara,MÁRCIO BIOLCHI,RS,MDB,MDB,1500000,1616478.47,0.0117712051115445
150418,camara,MÁRCIO MARINHO,BA,REPUBLICANOS,PRB,1649271.21,1659271.21,0.0200099660523018
160535,camara,MARCON,RS,PT,PT,900000,987733.85,0.00915706983471061
171619,camara,MARGARIDA SALOMÃO,MG,PT,PT,1000000,1037963,0.0115609250538866
74398,camara,MARIA DO ROSÁRIO,RS,PT,PT,967697.33,1024155.65,0.00984585781074778
178956,camara,MARIANA CARVALHO,RO,PSDB,PSDB,2000000,2397398.92,0.017852952638419
74158,camara,MÁRIO HERINGER,MG,PDT,PDT,520686.1,2265831.7,0.0314640187104673
178858,camara,MÁRIO NEGROMONTE JR.,BA,PP,PP,1783274,1803584,0.0146121909765624
178843,camara,MARX BELTRÃO,AL,PSD,PSD,1049800,1073621.94,0.00997824167822265
74749,camara,MAURO LOPES,MG,MDB,MDB,1500956.69,1595296.69,0.0133837063135439
178984,camara,MIGUEL HADDAD,SP,PSDB,PSDB,1000000,1068386.4,0.0163659621882216
178985,camara,MIGUEL LOMBARDI,SP,PL,PL,1912383.75,1986673.75,0.0212485063833631
178895,camara,MISAEL VARELLA,MG,PSD,PSD,1056168.97,2012825.85,0.0183398114421657
178896,camara,NEWTON CARDOSO JR,MG,MDB,MDB,1500956.69,2078878.19,0.0133837063135439
74352,camara,NILSON PINTO,PA,PSDB,PSDB,500000,1071285.2,0.00418006948309399
178986,camara,NILTO TATTO,SP,PT,PT,902796.23,1304856.12,0.0127280204195462
194260,camara,NIVALDO ALBUQUERQUE,AL,PTB,PTB,1150000,1282622.5,0.016772678199598
66179,camara,NORMA AYUB,ES,DEM,DEM,1650000,1688948.86,0.0241208230254815
74159,camara,ODAIR CUNHA,MG,PT,PT,930000,1627654.69,0.0107516603001146
178987,camara,ORLANDO SILVA,SP,PCdoB,PCdoB,1048593.15,1412808.08,0.0758522621637065
160556,camara,PADRE JOÃO,MG,PT,PT,934300,1026981.97,0.0108013722778463
74319,camara,PAES LANDIM,PI,PTB,PTB,1877821.74,1906141.95,0.0343167397366413
160642,camara,PASTOR EURICO,PE,PATRIOTA,PATRIOTA,311500,475000,0.0352794730084776
74160,camara,PATRUS ANANIAS,MG,PT,PT,900000,1103220.03,0.010404832548498
171617,camara,PAULÃO,AL,PT,PT,900000,1032000,0.00569535871815391
141516,camara,PAULO ABI-ACKEL,MG,PSDB,PSDB,561326.03,2047458.69,0.00753317722326544
178860,camara,PAULO AZI,BA,DEM,DEM,840250,858625,0.0157239104237201
160558,camara,PAULO FREIRE COSTA,SP,PL,PL,2091765.71,2094265.71,0.0232416203293063
74574,camara,PAULO MAGALHÃES,BA,PSD,PSD,800000,975310,0.0127580728969784
193726,camara,PAULO EDUARDO MARTINS,PR,PSC,PSC,1014000,1159768,0.0547911259923842
141518,camara,PAULO PEREIRA DA SILVA,SP,SOLIDARIEDADE,SOLIDARIEDADE,961890.27,1007590.27,0.0488455457612346
74400,camara,PAULO PIMENTA,RS,PT,PT,900000,1008481.79,0.00915706983471061
141488,camara,PAULO TEIXEIRA,SP,PT,PT,902796.23,1783998.52,0.0127280204195462
178912,camara,PEDRO CUNHA LIMA,PB,PSDB,PSDB,1020400,1268604.15,0.0109692257496854
122158,camara,PEDRO PAULO,RJ,DEM,DEM,940000,1637051.3,0.0300951797959731
160604,camara,PEDRO UCZAI,SC,PT,PT,900000,1201526.08,0.00971711117017701
73486,camara,POMPEO DE MATTOS,RS,PDT,PDT,550000,607780,0.0292497614229278
160601,camara,PR. MARCO FELICIANO,SP,PODEMOS,PODEMOS,1289772.55,1289772.55,0.0793348378733067
160639,camara,PROFESSORA DORINHA SEABRA REZENDE,TO,DEM,DEM,1966400,2182658,0.0302448084250559
160641,camara,PROFESSORA MARCIVANIA,AP,PCdoB,PCdoB,896500,931000,0.038770441188711
