id_req,id,peso_arestas
27727,73893,1
27738,74190,1
27784,74829,1
27796,73582,1
27940,74585,1
27957,74779,1
27971,73477,1
27980,74360,1
28026,74559,1
28033,73464,1
28054,74089,1
28239,73548,1
28240,73570,1
28291,74544,1
28441,74218,1
28442,73531,1
28472,74656,1
28491,73486,1
28553,73466,1
28567,74781,1
28592,73595,1
28692,74479,1
28694,74585,1
28703,73553,1
28725,74851,1
28729,73486,1
28731,74300,1
28734,74340,1
28736,73874,1
28738,74684,1
28969,73778,1
28970,74340,1
29023,74085,1
29038,74305,1
29182,74851,1
29190,73442,1
29224,73793,1
29225,73560,1
29361,74694,1
29400,74416,1
29410,73466,1
29417,74447,1
29449,74801,1
29532,74771,1
29684,74676,1
29701,74200,1
29909,73441,1
29914,74851,1
29929,73559,1
29946,74558,1
29950,74558,1
30633,73531,1
30635,73466,1
30636,74829,1
30683,74405,1
31356,74186,1
31376,74779,1
31389,74570,1
31394,74771,1
31842,74780,1
31881,74421,1
31928,74571,1
32115,73487,1
32148,74779,1
32211,74851,1
32217,73661,1
32225,74108,1
32228,74656,1
32311,74585,1
32315,74082,0.5
32315,74792,0.5
32326,74802,1
32331,74851,1
32343,74851,1
32489,73466,1
32494,74112,1
32504,73466,1
32571,74405,1
32657,74851,1
32816,74676,1
32899,74585,1
32904,74357,1
32908,74592,1
32998,74351,1
33365,73471,1
33372,73889,1
33376,74694,1
33478,74632,1
33539,74674,1
33550,74021,1
33630,74592,1
33702,73466,1
33703,74449,1
33727,74851,1
33955,74558,1
33963,74124,1
33969,74851,1
34079,73486,1
34122,74365,1
34235,74300,1
34248,73660,1
34373,74365,1
35362,74851,1
35868,74186,1
35985,73602,1
35997,73466,1
36212,73442,1
36237,73466,1
36414,73466,1
36437,74449,1
36641,73874,1
36876,73466,1
36878,74795,1
37189,73466,1
37682,74655,1
37836,73982,1
40795,73466,1
40835,73466,1
40974,73466,1
41104,73466,1
41139,73466,1
41182,73466,1
41277,73466,1
41982,73441,1
42052,73431,1
42124,73466,1
42148,74295,1
42305,73553,1
42326,74082,0.5
42326,74697,0.5
42379,74665,1
42481,73466,1
42499,74586,1
42553,73487,1
42555,74670,1
42556,74670,1
42632,74784,1
42639,73466,1
43092,73531,1
43173,73780,1
43206,74655,1
43217,74804,1
43894,73486,1
44023,74451,1
44049,73466,1
44260,74133,1
44304,73584,1
44305,73584,1
44306,73584,1
44576,74585,1
44578,74585,1
44587,74085,1
44664,74186,1
45051,74851,1
45054,74851,1
45312,73486,1
45326,73825,1
45442,73584,1
45443,73584,1
45894,73485,1
45898,74851,1
45921,74684,1
45930,74851,1
46154,74475,1
46218,73486,1
46370,73588,1
46520,73469,1
46632,74851,1
46942,74458,1
47018,74021,1
47022,74021,1
47024,74021,1
47288,74779,1
47322,73466,1
47323,73466,1
47460,73579,1
47707,73466,1
47914,74851,1
47916,74851,1
47979,74851,1
48114,73660,1
48336,74851,1
48408,73463,1
48542,74225,1
48581,74295,1
48599,73548,1
48711,73470,1
48713,73470,1
49053,73778,1
49077,74851,1
49138,74585,1
49212,74705,1
49717,74085,1
49769,73442,1
51078,74705,1
51087,74021,1
51118,73991,1
51194,73466,1
51196,73466,1
51742,74333,1
51798,73466,1
51971,73682,1
52072,73470,1
53360,73885,1
53653,74763,1
54208,73459,1
54257,74705,1
54269,73772,1
54783,74851,1
54784,74851,1
54862,74848,1
56091,74421,1
56104,73486,1
56176,74699,1
56299,73548,1
56570,73904,1
56685,74788,1
56687,74788,1
57709,73572,1
58106,74137,1
58233,73603,1
59317,73466,1
59553,73775,1
59862,73477,1
59903,74700,1
63938,73910,1
64077,73466,1
64079,74681,1
64283,74200,1
64313,74571,1
64395,74295,1
64440,74102,1
64458,74685,1
