CNPJ,EMPRESA,ENDEREÇO,NÚMERO,BAIRRO,CEP,MUNICÍPIO,UF,CNAE PRIMÁRIA,NATUREZA JURÍDICA
75552133000170,LUNELLI COMERCIO DO VESTUARIO LTDA,RUA ATANASIO ROSA,833,CENTRO,89270000,GUARAMIRIM,SC,"1412 - Confecção de peças do vestuário, exceto roupas íntimas",206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
00375707000182,"LUPAR COMERCIO, IMPORTACAO E EXPORTACAO LTDA",RUA BENJAMIN CONSTANT,30,CENTRO,98995000,PORTO XAVIER,RS,4633 - Comércio atacadista de hortifrutigranjeiros,206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
89463822000112,LUPATECH S/A,RODOVIA ANHANGUERA,KM 119,DISTRITO INDUSTRIAL,13460000,NOVA ODESSA,SP,"2813 - Fabricação de válvulas, registros e dispositivos semelhantes",204 - SOCIEDADE ANONIMA ABERTA-COM CONTROLE ACIONARIO PRIVADO
61299111000305,LUPER INDUSTRIA FARMACEUTICA LTDA,AVENIDA FRANCISCO S L FILHO,1039,CENTRO,12900005,BRAGANCA PAULISTA,SP,2121 - Fabricação de medicamentos para uso humano,206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
92270966000167,LUPISPORT INDUSTRIA DE CONFECCOES LTDA,RUA ADRIANO FARINA,166,CENTRO,95330000,VERANOPOLIS,RS,"1412 - Confecção de peças do vestuário, exceto roupas íntimas",206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
93635159000244,LUPO MINERAIS LTDA,RUA CHICA MINEIRA,2980,BOTUCARAI,99300000,SOLEDADE,RS,4689 - Comércio atacadista especializado de outros produtos intermediários não especificados anteriormente,206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
43948405000169,LUPO S.A.,RODOVIA WASHINGTON LUIS,SN,RECREIO CAMPESTRE ID,14803900,ARARAQUARA,SP,1421 - Fabricação de meias,205 - SOCIEDADE ANONIMA FECHADA-EMPRESA PRIVADA
43948405000240,LUPO S.A.,RODOVIA WASHINGTON LUIZ,SN,,14800670,ARARAQUARA,SP,1421 - Fabricação de meias,205 - SOCIEDADE ANONIMA FECHADA-EMPRESA PRIVADA
94813078000179,LURDES REGINA BERTALUCI,RUA LAJEADO,360,CENTRO,98640000,CRISSIUMAL,RS,3101 - Fabricação de móveis com predominância de madeira,213 - FIRMA MERCANTIL INDIVIDUAL
00742949000167,LUSSMAR EXPORTACAO & IMPORTACAO LTDA,AVENIDA BRASIL,4277,CENTRO,79900000,PONTA PORA,MS,4619 - Representantes comerciais e agentes do comércio de mercadorias em geral não especializado,206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
68467638000170,LUVATA SAO PAULO - COMERCIO E INDUSTRIA LTDA,AVENIDA DOS AUTONOMISTAS,4900,KM 18,06194060,OSASCO,SP,2599 - Fabricação de produtos de metal não especificados anteriormente,206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
66179029000190,LUXATEC IMPORTACAO E COMERCIO LTDA - EPP,RUA CERRO CORA,585,VILA ROMANA,05061150,SAO PAULO,SP,"4754 - Comércio varejista especializado de móveis, colchoaria e artigos de iluminação",206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
53945523000177,LUXOR INDUSTRIA MECANICA EIRELI - EPP,AVENIDA HENRY FORD,1.041,PARQUE DA MOOCA,03109000,SAO PAULO,SP,2829 - Fabricação de máquinas e equipamentos de uso geral não especificados anteriormente,230 - EMPRESA INDIVIDUAL DE RESPONSABILIDADE LIMITADA (NATUREZA EMPRESARIA)
61989828000109,LUZIR INDUSTRIA E COMERCIO LTDA,RUA SOLD ALCEBIADES B CUNHA,90,PQ IND N MUNDO,02146010,SAO PAULO,SP,2592 - Fabricação de produtos de trefilados de metal,206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
00417520000102,LV CAPACITORES - INDUSTRIA E COMERCIO LTDA - ME,AVENIDA MISTIERI,47,JD SAO SEBASTIAO,13820000,JAGUARIUNA,SP,"2710 - Fabricação de geradores, transformadores e motores elétricos",206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
