id,casa,nome,data_apresentacao,ementa,autor,indexacao,tema,uri_tramitacao
2243056,camara,PL 1547/2020,03/04/2020,"Determina a assistência financeira temporária ao trabalhador doméstico, nos termos da Lei nº 7.998, de 11 de janeiro de 1990, que trata do Programa de Seguro-Desemprego, em virtude de dispensa sem justa causa, inclusive indireta, durante o período de estado de calamidade pública decretado pelo Congresso Nacional.",Paula Belmonte - CIDADANIA/DF,NA,,https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2243056
2243057,camara,INC 341/2020,03/04/2020,"Sugere ao Ministério do Desenvolvimento Regional, as providências necessárias e urgentes com vistas a suspender a atividade de corte de água enquanto perdurar o decreto legislativo nº 6 de 2020 que reconhece a ocorrência do estado de calamidade pública.",Márcio Marinho - REPUBLIC/BA,NA,,https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2243057
2243059,camara,INC 342/2020,03/04/2020,"Sugere ao Ministério de Minas e Energia, as providências necessárias e urgentes com vistas a suspender a atividade de corte de gás enquanto perdurar o decreto legislativo nº 6 de 2020 que reconhece a ocorrência do estado de
calamidade pública.",Márcio Marinho - REPUBLIC/BA,NA,,https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2243059
2243060,camara,PL 1548/2020,03/04/2020,Dispõe sobre a realização de teste rápido para detecção do COVID-19 nas autoridades e agentes descritos no art. 144 da Constituição Federal.,Major Fabiana - PSL/RJ,NA,,https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2243060
2243061,camara,PL 1549/2020,03/04/2020,"Dispõe sobre medidas emergenciais para os Povos Indígenas Isolados e de Recente Contato, no período de calamidade pública em razão do COVID-19 e dá outras providências.","Airton Faleiro - PT/PA, Luizianne Lins - PT/CE, Rubens Otoni - PT/GO, Margarida Salomão - PT/MG, Professora Rosa Neide - PT/MT, Paulo Pimenta - PT/RS, Célio Moura - PT/TO, Rejane Dias - PT/PI, Alexandre Padilha - PT/SP, Talíria Petrone - PSOL/RJ, Nilto Tatto - PT/SP, Erika Kokay - PT/DF, Frei Anastacio Ribeiro - PT/PB, Marília Arraes - PT/PE, Jandira Feghali - PCdoB/RJ, José Ricardo - PT/AM",NA,,https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2243061
2243062,camara,INC 343/2020,03/04/2020,"Sugere ao Ministério de Minas e Energia, por meio da Agência Nacional de Energia Elétrica (Aneel), as providências necessárias e urgentes com vistas a
impedir a cobrança de juros e multa no atraso pelo pagamento de contas de
energia, bem como a vedação de inscrição nos órgãos de proteção ao
crédito, durante a pandemia de coronavírus.",Márcio Marinho - REPUBLIC/BA,NA,,https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2243062
2243063,camara,INC 344/2020,03/04/2020,Sugere a inclusão dos profissionais da segurança pública na utilização de hotéis e pousadas como forma de impedir a disseminação do COVID-19.,Major Fabiana - PSL/RJ,NA,,https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2243063
2243064,camara,PL 1550/2020,03/04/2020,"Acrescenta o artigo 74-A à Lei nº 8.078, de 11 de setembro de 1990, que “dispõe sobre a proteção do consumidor e dá outras providencias” para tipificar, como infração penal, a elevação sem justa causa do preço de produtos ou serviços.",Márcio Marinho - REPUBLIC/BA,NA,,https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2243064
2243065,camara,PL 1551/2020,03/04/2020,Estabelece medidas de emergência nacional para garantir a fabricação de produtos essenciais em período de calamidade pública.,Helder Salomão - PT/ES,NA,,https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2243065
2243066,camara,PL 1552/2020,03/04/2020,"Dispõe sobre a proteção de mulheres em situação de violência durante a vigência do estado de calamidade pública, com efeitos até 31 de dezembro de 2020, ou enquanto durarem medidas de quarentena e restrições de atividades no contexto da pandemia do COVID-19 (Novo Coronavírus).","Sâmia Bomfim - PSOL/SP, David Miranda - PSOL/RJ, Fernanda Melchionna - PSOL/RS, Talíria Petrone - PSOL/RJ, Luiza Erundina - PSOL/SP, Tereza Nelma - PSDB/AL, Mara Rocha - PSDB/AC, Professora Rosa Neide - PT/MT, Margarida Salomão - PT/MG, Lídice da Mata - PSB/BA, Maria do Rosário - PT/RS, Erika Kokay - PT/DF, Patricia Ferraz - PODE/AP, Leda Sadala - AVANTE/AP, Professora Dorinha Seabra Rezende - DEM/TO",NA,,https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2243066
