id,nome_eleitoral,sg_partido,uf,faltou,partido_liberou,nao_seguiu,seguiu,total_votacoes,aderencia
178843,MARX BELTRÃO,PSD,AL,7,1,2,1,3,33.33333333333333
74749,MAURO LOPES,MDB,MG,7,0,1,3,4,75
178985,MIGUEL LOMBARDI,PL,SP,1,2,2,6,8,75
178895,MISAEL VARELLA,PSD,MG,0,2,0,9,9,100
178997,MOSES RODRIGUES,MDB,CE,8,2,0,1,1,NA
74571,NELSON PELLEGRINO,PT,BA,3,2,5,1,6,16.666666666666664
178896,NEWTON CARDOSO JR,MDB,MG,7,0,0,4,4,100
74352,NILSON PINTO,PSDB,PA,5,0,0,6,6,100
178986,NILTO TATTO,PT,SP,4,2,4,1,5,20
194260,NIVALDO ALBUQUERQUE,PTB,AL,0,2,2,7,9,77.77777777777779
66179,NORMA AYUB,DEM,ES,2,0,2,7,9,77.77777777777779
74159,ODAIR CUNHA,PT,MG,4,2,4,1,5,20
178987,ORLANDO SILVA,PCdoB,SP,3,1,3,4,7,57.14285714285714
160556,PADRE JOÃO,PT,MG,3,1,6,1,7,14.285714285714285
74319,PAES LANDIM,PTB,PI,7,0,2,2,4,50
160642,PASTOR EURICO,PATRIOTA,PE,1,2,1,7,8,87.5
74160,PATRUS ANANIAS,PT,MG,8,0,3,0,3,0
171617,PAULÃO,PT,AL,3,1,6,1,7,14.285714285714285
141516,PAULO ABI-ACKEL,PSDB,MG,4,0,2,5,7,71.42857142857143
178860,PAULO AZI,DEM,BA,5,0,2,4,6,66.66666666666666
160558,PAULO FREIRE COSTA,PL,SP,2,1,2,6,8,75
74574,PAULO MAGALHÃES,PSD,BA,3,1,2,5,7,71.42857142857143
193726,PAULO EDUARDO MARTINS,PSC,PR,3,1,1,6,7,85.71428571428571
141518,PAULO PEREIRA DA SILVA,SOLIDARIEDADE,SP,4,1,2,4,6,66.66666666666666
74400,PAULO PIMENTA,PT,RS,9,0,1,1,2,NA
141488,PAULO TEIXEIRA,PT,SP,4,1,5,1,6,16.666666666666664
178912,PEDRO CUNHA LIMA,PSDB,PB,0,2,1,8,9,88.88888888888889
122158,PEDRO PAULO,DEM,RJ,1,2,2,6,8,75
160604,PEDRO UCZAI,PT,SC,4,1,5,1,6,16.666666666666664
73486,POMPEO DE MATTOS,PDT,RS,7,0,0,4,4,100
160601,PR. MARCO FELICIANO,PODEMOS,SP,0,2,0,9,9,100
160639,PROFESSORA DORINHA SEABRA REZENDE,DEM,TO,8,1,1,1,2,NA
160641,PROFESSORA MARCIVANIA,PCdoB,AP,5,1,2,3,5,60
178951,RAFAEL MOTTA,PSB,RN,4,2,1,4,5,80
74161,REGINALDO LOPES,PT,MG,5,0,5,1,6,16.666666666666664
178925,REJANE DIAS,PT,PI,6,2,2,1,3,33.33333333333333
178989,RENATA ABREU,PODEMOS,SP,9,0,1,1,2,NA
73788,RICARDO BARROS,PP,PR,5,2,2,2,4,50
160655,RICARDO IZAR,PP,SP,3,1,2,5,7,71.42857142857143
178920,RICARDO TEOBALDO,PODEMOS,PE,7,0,0,4,4,100
152610,ROBERTO ALVES,PRB,SP,5,0,1,5,6,83.33333333333334
160653,ROBERTO DE LUCENA,PODEMOS,SP,6,0,1,4,5,80
141531,RODRIGO DE CASTRO,PSDB,MG,2,2,2,5,7,71.42857142857143
74693,RODRIGO MAIA,DEM,RJ,11,0,0,0,0,NA
160651,ROGÉRIO PENINHA MENDONÇA,MDB,SC,3,1,1,6,7,85.71428571428571
178861,RONALDO CARLETTO,PP,BA,9,0,0,2,2,NA
178945,ROSANGELA GOMES,PRB,RJ,1,1,3,6,9,66.66666666666666
73466,RUBENS BUENO,CIDADANIA,PR,6,0,0,5,5,100
74371,RUBENS OTONI,PT,GO,4,2,4,1,5,20
178990,SAMUEL MOREIRA,PSDB,SP,3,1,0,7,7,100
178921,SEBASTIÃO OLIVEIRA,PL,PE,11,0,0,0,0,NA
178933,SERGIO SOUZA,MDB,PR,6,0,1,4,5,80
178874,SERGIO VIDIGAL,PDT,ES,4,0,1,6,7,85.71428571428571
178961,SHÉRIDAN,PSDB,RR,0,2,2,7,9,77.77777777777779
74356,SILAS CÂMARA,PRB,AM,11,0,0,0,0,NA
178946,SORAYA SANTOS,PL,RJ,11,0,0,0,0,NA
178947,SÓSTENES CAVALCANTE,DEM,RJ,2,2,2,5,7,71.42857142857143
92776,STEFANO AGUIAR,PSD,MG,1,2,2,6,8,75
177282,SUBTENENTE GONZAGA,PDT,MG,4,1,2,4,6,66.66666666666666
178922,TADEU ALENCAR,PSB,PE,9,0,0,2,2,NA
178901,TEREZA CRISTINA,DEM,MS,NA,NA,NA,NA,NA,NA
160976,TIRIRICA,PL,SP,0,2,2,7,9,77.77777777777779
178934,TONINHO WANDSCHEER,PROS,PR,7,1,1,2,3,66.66666666666666
178863,ULDURICO JUNIOR,PROS,BA,2,0,1,8,9,88.88888888888889
195866,VAIDON OLIVEIRA,PROS,CE,1,2,1,7,8,87.5
160610,VALMIR ASSUNÇÃO,PT,BA,0,2,8,1,9,11.11111111111111
74376,VANDER LOUBET,PT,MS,8,1,2,0,2,NA
141553,VANDERLEI MACRIS,PSDB,SP,4,0,0,7,7,100
74283,VICENTINHO,PT,SP,8,0,3,0,3,0
137070,VICENTINHO JÚNIOR,PL,TO,2,1,2,6,8,75
141555,VINICIUS CARVALHO,PRB,SP,1,1,3,6,9,66.66666666666666
160591,VINICIUS GURGEL,PL,AP,8,0,1,2,3,66.66666666666666
178992,VITOR LIPPI,PSDB,SP,2,1,2,6,8,75
160569,WALDENOR PEREIRA,PT,BA,4,1,4,2,6,33.33333333333333
178952,WALTER ALVES,MDB,RN,8,1,1,1,2,NA
160518,WELITON PRADO,PROS,MG,1,2,2,6,8,75
74043,WELLINGTON ROBERTO,PL,PB,7,1,2,1,3,33.33333333333333
74439,WOLNEY QUEIROZ,PDT,PE,2,1,3,5,8,62.5
178889,ZÉ CARLOS,PT,MA,0,2,8,1,9,11.11111111111111
160632,ZÉ SILVA,SOLIDARIEDADE,MG,2,1,2,6,8,75
160592,ZECA DIRCEU,PT,PR,8,1,1,1,2,NA
204554,ABÍLIO SANTANA,PL,BA,2,1,2,6,8,75
204521,ABOU ANNI,PSL,SP,0,2,1,8,9,88.88888888888889
204379,ACÁCIO FAVACHO,PROS,AP,1,1,2,7,9,77.77777777777779
204560,ADOLFO VIANA,PSDB,BA,2,1,1,7,8,87.5
204528,ADRIANA VENTURA,NOVO,SP,1,1,1,8,9,88.88888888888889
121948,ADRIANO DO BALDY,PP,GO,0,2,2,7,9,77.77777777777779
74646,AÉCIO NEVES,PSDB,MG,7,1,0,3,3,100
204495,AIRTON FALEIRO,PT,PA,5,1,4,1,5,20
204549,AJ ALBUQUERQUE,PP,CE,1,1,2,7,9,77.77777777777779
204413,ALCIDES RODRIGUES,PATRIOTA,GO,0,2,1,8,9,88.88888888888889
204545,ALÊ SILVA,PSL,MG,0,2,0,9,9,100
204501,ALENCAR SANTANA BRAGA,PT,SP,5,1,4,1,5,20
204571,ALEX SANTANA,PDT,BA,5,0,1,5,6,83.33333333333334
204544,ALEXANDRE FROTA,PSL,SP,2,1,2,6,8,75
204503,ALEXANDRE PADILHA,PT,SP,4,2,4,1,5,20
204516,ALEXIS FONTEYNE,NOVO,SP,0,2,1,8,9,88.88888888888889
204353,ALINE GURGEL,PRB,AP,6,0,1,4,5,80
204400,ALINE SLEUTJES,PSL,PR,6,2,1,2,3,66.66666666666666
204356,AMARO NETO,PRB,ES,2,1,3,5,8,62.5
204423,ANDRÉ FERREIRA,PSC,PE,11,0,0,0,0,NA
204515,ANDRÉ JANONES,AVANTE,MG,0,2,2,7,9,77.77777777777779
73696,ANGELA AMIN,PP,SC,1,2,0,8,8,100
204414,AROLDO MARTINS,PRB,PR,1,2,3,5,8,62.5
204509,ÁUREA CAROLINA,PSOL,MG,4,2,3,2,5,40
109429,BENES LEOCÁDIO,PRB,RN,0,2,3,6,9,66.66666666666666
204358,BETO PEREIRA,PSDB,MS,3,1,2,5,7,71.42857142857143
204374,BIA KICIS,PSL,DF,1,1,1,8,9,88.88888888888889
204388,BIBO NUNES,PSL,RS,0,2,1,8,9,88.88888888888889
204561,BIRA DO PINDARÉ,PSB,MA,0,2,3,6,9,66.66666666666666
204397,BOCA ABERTA,PROS,PR,4,1,2,4,6,66.66666666666666
204551,BOSCO SARAIVA,SOLIDARIEDADE,AM,1,2,2,6,8,75
204520,CABO JUNIO AMARAL,PSL,MG,2,1,1,7,8,87.5
204352,CAMILO CAPIBERIBE,PSB,AP,2,2,2,5,7,71.42857142857143
204572,CAPITÃO ALBERTO NETO,PRB,AM,5,2,3,1,4,25
204487,CAPITÃO WAGNER,PROS,CE,3,1,1,6,7,85.71428571428571
204507,CARLA ZAMBELLI,PSL,SP,5,0,1,5,6,83.33333333333334
204361,CARLOS CHIODINI,MDB,SC,2,2,1,6,7,85.71428571428571
204460,CARLOS JORDY,PSL,RJ,0,2,1,8,9,88.88888888888889
204426,CARLOS VERAS,PT,PE,4,2,4,1,5,20
204369,CAROLINE DE TONI,PSL,SC,1,1,1,8,9,88.88888888888889
204499,CÁSSIO ANDRADE,PSB,PA,4,1,2,4,6,66.66666666666666
204380,CELINA LEÃO,PP,DF,1,2,1,7,8,87.5
204370,CÉLIO MOURA,PT,TO,1,1,8,1,9,11.11111111111111
204488,CÉLIO STUDART,PV,CE,0,2,0,9,9,100
204496,CELSO SABINO,PSDB,PA,2,1,0,8,8,100
204504,CEZINHA DE MADUREIRA,PSD,SP,6,0,1,4,5,80
205476,CHARLES FERNANDES,PSD,BA,0,2,2,7,9,77.77777777777779
204490,CHARLLES EVANGELISTA,PSL,MG,2,1,0,8,8,100
