congressperson_name,congressperson_id,twitter_profile,secondary_twitter_profile,facebook_page
JILMAR TATTO,141456,jilmartatto,,https://www.facebook.com/jilmar.tatto
JOAQUIM PASSARINHO,178910,joaquimpassarin,,https://www.facebook.com/joaquimpassarinhooficial
JONAS DONIZETTE,160548,Jonas_donizette,,https://www.facebook.com/jonasdonizette
JONES MARTINS,194262,,,https://www.facebook.com/DepJonesMartins
JONY MARCOS,178971,Dep_jonymarcos,,https://www.facebook.com/jony.marcos.1
JORGE BOEIRA,74388,deputadoboeira,,https://www.facebook.com/deputadojorgeboeira
JORGE CÔRTE REAL,160572,jorgecortereal,,https://www.facebook.com/jorgecorterealpe
JORGE PINHEIRO,73569,jorgepinheiro10,,https://www.facebook.com/bpjorgeoficial
JORGE SOLLA,178857,depjorgesolla,,https://www.facebook.com/depjorgesolla
JORGE TADEU MUDALEN,73535,depjorgetadeu,,https://www.facebook.com/DeputadoJorgeTadeu
JORGINHO MELLO,160509,jorginhomello,,https://www.facebook.com/jorginho.mello.35
JOSE STÉDILE,160607,josestedile,,https://www.facebook.com/jose.stedile4080
JOSI NUNES,114941,josinunesto,,https://www.facebook.com/josinunesto
JOSIAS GOMES,74141,josiasgomesba,,https://www.facebook.com/josiasgomes1312
JOSUÉ BENGTSON,74351,josuebengtson,,https://www.facebook.com/JosueBengtson
JOSÉ AIRTON CIRILO,141464,JoseAirtonPT,,https://www.facebook.com/Joseairtoncirilo
JOSÉ AUGUSTO MAIA,160661,joseaugustomaia,,https://www.facebook.com/joseaugusto.maia.94
JOSÉ CARLOS ALELUIA,74553,aleluiacosta,,https://www.facebook.com/josecarlosaleluia
JOSÉ CARLOS ARAÚJO,74140,depjosecarlos,,https://www.facebook.com/deputadojosecarlosaraujo
JOSÉ CHAVES,74423,dep_josechaves,,
JOSÉ DE FILIPPI,160560,josedefilippi,,https://www.facebook.com/filippijr
JOSÉ FOGAÇA,131966,JFogaca1,,https://www.facebook.com/josefogacapoa
JOSÉ GUIMARÃES,141470,guimaraes13PT,,https://www.facebook.com/DeputadoJoseGuimaraes
JOSÉ HUMBERTO,160396,DepJoseHumberto,,https://www.facebook.com/deputadofederaljosehumberto
JOSÉ LINHARES,74297,padreze,,https://www.facebook.com/jose.linhares.71
JOSÉ MENTOR,74275,jose_mentor,,https://www.facebook.com/DeputadoJoseMentor
JOSÉ NUNES,160619,JoseNunesDep,,https://www.facebook.com/deputadojosenunes
JOSÉ OTÁVIO GERMANO,74395,jotaviogermano,,https://www.facebook.com/Jos%C3%A9-Ot%C3%A1vio-Germano-1427594324119758
JOSÉ PRIANTE,74079,priante,,https://www.facebook.com/AgoraePriante
JOSÉ REINALDO,73714,,,https://www.facebook.com/zereinaldot
JOSÉ ROCHA,74554,joserocha_,,https://www.facebook.com/dep.joserocha
JOVAIR ARANTES,73666,,,https://www.facebook.com/jovairarantes1414
JOZI ARAÚJO,178851,Deputada_Jozi‏,,https://www.facebook.com/joziaraujo.ap
JOÃO ANANIAS,160574,depjoaoananias,,https://www.facebook.com/Deputado-Federal-Jo%C3%A3o-Ananias-577591372290851
JOÃO ARRUDA,160573,joao_arruda,,https://www.facebook.com/JoaoArruda15
JOÃO BITTAR,141457,depjoaobittar,,https://www.facebook.com/bittarjoao
JOÃO CAMPOS,74366,depjoaocampos,,https://www.facebook.com/deputadojoaocampos
JOÃO CARLOS BACELAR,141458,deputadobacelar,,https://www.facebook.com/joaobacelar2288
JOÃO DADO,73682,joaodado,,https://www.facebook.com/JoaoDado
JOÃO DANIEL,178970,joaodanielPT,depjoaodanielpt,https://www.facebook.com/deputadojoaodaniel
JOÃO DERLY,178965,joaoderly,,https://www.facebook.com/JoaoDerlyOficial
JOÃO FERNANDO COUTINHO,178917,,,https://www.facebook.com/joaofernandocoutinho
JOÃO GUALBERTO,178856,,,https://www.facebook.com/JoaoGualbertoOficial
JOÃO LYRA,74049,Joao_Lyra,,https://www.facebook.com/joaolyra.al
JOÃO MAIA,141459,depjoaomaia,,https://www.facebook.com/joao.maia.581
JOÃO MARCELO SOUZA,112437,,,https://www.facebook.com/deputadojoaomarcelo
JOÃO PAULO KLEINÜBING,178967,jpkleinubing,,https://www.facebook.com/jpkleinubing
JOÃO PAULO LIMA,160549,joaopaulo_pt,,https://www.facebook.com/joaopaulopt13
JOÃO PAULO PAPA,178988,Joaoppapa,,https://www.facebook.com/joaopaulopapaoficial
JOÃO PIZZOLATTI,73874,pizzolatti,,
JOÃO RODRIGUES,160571,joaorodriguessc,,https://www.facebook.com/JoaoRodriguesdeputado
JULIO LOPES,74253,,,https://www.facebook.com/juliolopesfanpagerj
JULIÃO AMIN,141474,,,https://www.facebook.com/juliaoamin
JUNIOR MARRECA,178885,juniormarreca,,https://www.facebook.com/juniormarrecaoficial
JUNJI ABE,160544,junjiabe,,https://www.facebook.com/junjiabebr
JUSCELINO FILHO,178886,,,https://www.facebook.com/DepJuscelinoFilho
JUTAHY JUNIOR,74570,,,https://www.facebook.com/deputadojutahy
JÂNIO NATAL,160675,janionatal,,https://www.facebook.com/janionatal
JÉSSICA SALES,178839,,,https://www.facebook.com/pg/dep.jessicasales
JÔ MORAES,141503,jomoraes,,https://www.facebook.com/deputadajomoraes
JÚLIA MARINHO,67312,,,https://www.facebook.com/dep.juliamarinho
JÚLIO CAMPOS,160519,DepJulioCampos,,https://www.facebook.com/DeputadoJulioCampos
JÚLIO CESAR,74317,DepJulioCesarPI,,https://www.facebook.com/depfederaljuliocesar
JÚLIO DELGADO,73586,depjuliodelgado,,https://www.facebook.com/DeputadoJulioDelgado
KAIO MANIÇOBA,178918,,,https://www.facebook.com/deputadokaiomanicoba
KEIKO OTA,160659,keikoota_,,https://www.facebook.com/keikootadeputada
LAERCIO OLIVEIRA,151208,laerciofederal,,https://www.facebook.com/deputadolaerciooliveira
LAERTE BESSA,141478,laerte_bessa,,https://www.facebook.com/laertebessaoficial
