cod_titulo,data_fim,data_inicio,email,id,id_frente,id_legislatura,nome,sigla_partido,sigla_uf,titulo,uri,uri_partido,url_foto,tema
1004,NA,NA,NA,141431,54012,56,FERNANDO COELHO FILHO,DEM,PE,Membro,https://dadosabertos.camara.leg.br/api/v2/deputados/141431,https://dadosabertos.camara.leg.br/api/v2/partidos/36769,https://www.camara.leg.br/internet/deputado/bandep/141431.jpg,Ambientalista
1004,NA,NA,NA,141439,54012,56,CHICO D'ANGELO,PDT,RJ,Membro,https://dadosabertos.camara.leg.br/api/v2/deputados/141439,https://dadosabertos.camara.leg.br/api/v2/partidos/36786,https://www.camara.leg.br/internet/deputado/bandep/141439.jpg,Ambientalista
1004,NA,NA,NA,141450,54012,56,HUGO LEAL,PSD,RJ,Membro,https://dadosabertos.camara.leg.br/api/v2/deputados/141450,https://dadosabertos.camara.leg.br/api/v2/partidos/36834,https://www.camara.leg.br/internet/deputado/bandep/141450.jpg,Ambientalista
1004,NA,NA,NA,141470,54012,56,JOSÉ GUIMARÃES,PT,CE,Membro,https://dadosabertos.camara.leg.br/api/v2/deputados/141470,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,https://www.camara.leg.br/internet/deputado/bandep/141470.jpg,Ambientalista
1004,NA,NA,NA,141488,54012,56,PAULO TEIXEIRA,PT,SP,Membro,https://dadosabertos.camara.leg.br/api/v2/deputados/141488,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,https://www.camara.leg.br/internet/deputado/bandep/141488.jpg,Ambientalista
1004,NA,NA,NA,141508,54012,56,MAURO NAZIF,PSB,RO,Membro,https://dadosabertos.camara.leg.br/api/v2/deputados/141508,https://dadosabertos.camara.leg.br/api/v2/partidos/36832,https://www.camara.leg.br/internet/deputado/bandep/141508.jpg,Ambientalista
1004,NA,NA,NA,141513,54012,56,BILAC PINTO,DEM,MG,Membro,https://dadosabertos.camara.leg.br/api/v2/deputados/141513,https://dadosabertos.camara.leg.br/api/v2/partidos/36769,https://www.camara.leg.br/internet/deputado/bandep/141513.jpg,Ambientalista
1004,NA,NA,NA,141523,54012,56,RAUL HENRY,MDB,PE,Membro,https://dadosabertos.camara.leg.br/api/v2/deputados/141523,https://dadosabertos.camara.leg.br/api/v2/partidos/36899,https://www.camara.leg.br/internet/deputado/bandep/141523.jpg,Ambientalista
1004,NA,NA,NA,141531,54012,56,RODRIGO DE CASTRO,PSDB,MG,Membro,https://dadosabertos.camara.leg.br/api/v2/deputados/141531,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,https://www.camara.leg.br/internet/deputado/bandep/141531.jpg,Ambientalista
1004,NA,NA,NA,141553,54012,56,VANDERLEI MACRIS,PSDB,SP,Membro,https://dadosabertos.camara.leg.br/api/v2/deputados/141553,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,https://www.camara.leg.br/internet/deputado/bandep/141553.jpg,Ambientalista
1004,NA,NA,NA,141555,54012,56,VINICIUS CARVALHO,REPUBLICANOS,SP,Membro,https://dadosabertos.camara.leg.br/api/v2/deputados/141555,https://dadosabertos.camara.leg.br/api/v2/partidos/37908,https://www.camara.leg.br/internet/deputado/bandep/141555.jpg,Ambientalista
1004,NA,NA,NA,143632,54012,56,DOMINGOS NETO,PSD,CE,Membro,https://dadosabertos.camara.leg.br/api/v2/deputados/143632,https://dadosabertos.camara.leg.br/api/v2/partidos/36834,https://www.camara.leg.br/internet/deputado/bandep/143632.jpg,Ambientalista
1004,NA,NA,NA,150418,54012,56,MÁRCIO MARINHO,REPUBLICANOS,BA,Membro,https://dadosabertos.camara.leg.br/api/v2/deputados/150418,https://dadosabertos.camara.leg.br/api/v2/partidos/37908,https://www.camara.leg.br/internet/deputado/bandep/150418.jpg,Ambientalista
1004,NA,NA,NA,152605,54012,56,GLAUBER BRAGA,PSOL,RJ,Membro,https://dadosabertos.camara.leg.br/api/v2/deputados/152605,https://dadosabertos.camara.leg.br/api/v2/partidos/36839,https://www.camara.leg.br/internet/deputado/bandep/152605.jpg,Ambientalista
1004,NA,NA,NA,152610,54012,56,ROBERTO ALVES,REPUBLICANOS,SP,Membro,https://dadosabertos.camara.leg.br/api/v2/deputados/152610,https://dadosabertos.camara.leg.br/api/v2/partidos/37908,https://www.camara.leg.br/internet/deputado/bandep/152610.jpg,Ambientalista
1004,NA,NA,NA,157130,54012,56,TÚLIO GADÊLHA,PDT,PE,Membro,https://dadosabertos.camara.leg.br/api/v2/deputados/157130,https://dadosabertos.camara.leg.br/api/v2/partidos/36786,https://www.camara.leg.br/internet/deputado/bandep/157130.jpg,Ambientalista
1004,NA,NA,NA,159237,54012,56,ASSIS CARVALHO,PT,PI,Membro,https://dadosabertos.camara.leg.br/api/v2/deputados/159237,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,https://www.camara.leg.br/internet/deputado/bandep/159237.jpg,Ambientalista
1004,NA,NA,NA,160508,54012,56,AFONSO FLORENCE,PT,BA,Membro,https://dadosabertos.camara.leg.br/api/v2/deputados/160508,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,https://www.camara.leg.br/internet/deputado/bandep/160508.jpg,Ambientalista
1004,NA,NA,NA,160510,54012,56,LUIS TIBÉ,AVANTE,MG,Membro,https://dadosabertos.camara.leg.br/api/v2/deputados/160510,https://dadosabertos.camara.leg.br/api/v2/partidos/36898,https://www.camara.leg.br/internet/deputado/bandep/160510.jpg,Ambientalista
1004,NA,NA,NA,160518,54012,56,WELITON PRADO,PROS,MG,Membro,https://dadosabertos.camara.leg.br/api/v2/deputados/160518,https://dadosabertos.camara.leg.br/api/v2/partidos/36763,https://www.camara.leg.br/internet/deputado/bandep/160518.jpg,Ambientalista
1004,NA,NA,NA,160528,54012,56,DANILO CABRAL,PSB,PE,Membro,https://dadosabertos.camara.leg.br/api/v2/deputados/160528,https://dadosabertos.camara.leg.br/api/v2/partidos/36832,https://www.camara.leg.br/internet/deputado/bandep/160528.jpg,Ambientalista
1004,NA,NA,NA,160531,54012,56,JHONATAN DE JESUS,REPUBLICANOS,RR,Membro,https://dadosabertos.camara.leg.br/api/v2/deputados/160531,https://dadosabertos.camara.leg.br/api/v2/partidos/37908,https://www.camara.leg.br/internet/deputado/bandep/160531.jpg,Ambientalista
