cnpj,id_parlamentar_voz,data_entrada_sociedade
05032895000160,1204576,2002-05-03
05059983000155,1204390,2003-12-01
05119218000183,1160619,2002-06-07
05143490000107,174075,1998-11-25
05143490000107,235,1990-03-21
05191582000154,1178945,2005-09-12
05201377000122,1160655,2002-07-11
05203221000180,1133439,2002-07-19
05219966000138,173808,2005-09-12
05245892000104,174158,2004-09-29
05257678000178,1204476,2002-08-22
05289159000191,1178972,2013-05-23
05309439000114,1178983,2002-09-05
05309439000203,1178983,2002-09-05
05332944000180,1141531,2002-10-01
05380118000106,1204550,2016-09-16
05392477000183,1204500,2005-01-19
05407491000103,1204539,2010-10-13
05407491000294,1204539,2010-10-13
05415996000110,174439,2002-12-06
05429222000148,174439,2002-12-13
05433691000130,1178921,2009-08-19
05465524000171,1160666,2002-12-19
05483738000170,24770,2005-09-12
05496342000168,1177282,2005-09-12
05504993000152,1204363,2003-02-12
05504993000233,1204363,2003-02-12
05504993000314,1204363,2003-02-12
05508737000133,1177282,2005-09-12
05531281000122,1204399,2003-02-28
05565438000130,1204419,2003-08-29
05565438000211,1204419,2003-08-29
05565438000300,1204419,2003-08-29
05588203000164,1160666,2003-02-19
05606723000152,1160666,2003-02-20
05616225000190,192699,2011-10-27
05649712000150,1204516,2003-05-05
05652107000138,1204573,2005-02-02
05652107000219,1204573,2005-02-02
05652107000308,1204573,2005-02-02
05674895000163,1132504,2003-05-30
05688943000172,1204468,2003-02-07
05718967000127,1204489,2003-05-23
05726377000146,1204500,2005-01-18
05726377000227,1204500,2005-01-18
05754464000107,1204542,2003-06-20
05757605000145,1204543,2011-02-15
05779274000144,1204490,2011-08-12
05792326000112,1204543,2003-07-24
05795014000162,1160588,2003-08-01
05804594000107,1204569,2003-08-04
05807905000191,1160669,2003-07-23
05808250000176,1160541,2003-08-12
05817840000165,1141464,2003-08-14
05861738000167,1133439,2003-08-29
05861738000248,1133439,2003-08-29
05861738000329,1133439,2003-08-29
05956605000174,1178952,2003-10-31
05973108000184,1204361,2003-06-18
06016708000117,1160655,2003-11-20
06026563000135,1204543,2003-11-10
06078098000186,1204544,2011-11-10
06094165000156,174356,2004-01-10
06100109000187,1178896,2005-08-04
06103050000180,1141459,2003-09-17
06104592000178,1160619,2004-02-03
06104669000100,1160619,2004-02-02
06104669000290,1160619,2004-02-02
06138220000162,1133439,2004-03-05
06167010000100,1178993,2014-10-13
06179652000111,172442,2004-03-22
06179797000112,1178933,2004-03-29
06180348000194,1204390,2011-08-10
06182584000140,1204362,2004-04-01
06271830000130,1178984,2005-09-12
06273472000102,1204478,2004-05-10
06305377000135,1204466,2005-09-12
06323694000184,1141518,2004-03-25
06332023000180,1160512,2004-06-21
06332023000260,1160512,2004-06-21
06332023000341,1160512,2004-06-21
06332023000422,1160512,2004-06-21
06332023000503,1160512,2004-06-21
06332023000694,1160512,2004-06-21
06579213000104,1141464,2005-09-12
06634260000103,1178873,2005-09-12
06770471000165,1204426,2005-09-12
06772972000180,1178983,2005-09-12
06779713000181,1204422,2005-09-12
06779900000165,1146307,2005-09-12
06785546000181,1204408,2005-09-12
06815763000177,174283,2005-09-12
06852558000181,1204567,2005-09-12
06858618000173,1204500,2004-06-28
06869337000116,174419,2005-09-12
06886057000116,1204552,2004-07-21
06989814000187,1204528,2004-07-28
07034022000111,173788,2009-09-03
07047545000100,1204523,2009-08-27
07052234000121,1204478,2004-10-15
07057297000170,1204516,2016-05-19
07066686000162,1160655,2004-09-21
07076337000121,1178835,2004-10-18
07078342000173,1204543,2005-09-12
07089526000139,1178989,2004-09-13
07096014000108,1160666,2004-11-11
07096014000280,1160666,2004-11-11
07096014000361,1160666,2004-11-11
07096014000442,1160666,2004-11-11
07096014000523,1160666,2004-11-11
07098706000187,174537,2004-10-25
07113342000167,1204419,2013-06-25
07138772000133,1204465,2005-08-15
07159521000135,1204543,2008-02-28
07163194000195,193083,2004-12-21
07192864000100,174655,2011-09-05
07223868000108,1178959,2005-11-07
07234927000135,1204419,2005-02-10
07234927000216,1204419,2005-02-10
07241287000190,192699,2006-12-20
07249030000185,174317,1984-04-24
07260578000126,1160599,2005-02-28
07267942000180,1204543,2008-03-24
07285724000178,1204543,2008-03-24
07289329000163,1204500,2017-02-09
07289329000244,1204500,2017-02-09
07314275000149,173441,2013-04-12
07315079000199,174052,2005-03-31
