cnpj,id_atividade_economica,cnae_tipo
03564722000167,45,cnae_fiscal
03564722000167,45,cnae_secundario
03597857000129,45,cnae_fiscal
03623750000108,45,cnae_fiscal
03623750000108,45,cnae_secundario
03637204000126,43,cnae_fiscal
03637204000126,43,cnae_secundario
03637204000207,43,cnae_fiscal
03637204000207,43,cnae_secundario
03652904000190,11,cnae_fiscal
03664319000100,14,cnae_fiscal
03665173000117,39,cnae_fiscal
03674282000109,4,cnae_fiscal
03674282000281,4,cnae_fiscal
03700174000155,10,cnae_fiscal
03700174000155,10,cnae_secundario
03709032000159,11,cnae_fiscal
03719327000106,28,cnae_fiscal
03719327000106,28,cnae_secundario
03719327000106,2,cnae_secundario
03719327000106,11,cnae_secundario
03738074000118,43,cnae_fiscal
03753375000110,6,cnae_fiscal
03767704000182,18,cnae_fiscal
03767704000182,7,cnae_secundario
03769695000169,15,cnae_fiscal
03769695000169,7,cnae_secundario
03798215000198,43,cnae_fiscal
03798424000131,39,cnae_fiscal
03834115000170,39,cnae_fiscal
03862334000162,14,cnae_fiscal
03936202000138,8,cnae_fiscal
03951749000102,45,cnae_fiscal
03951749000102,45,cnae_secundario
03957101000143,45,cnae_fiscal
03957101000143,45,cnae_secundario
03985799000100,11,cnae_fiscal
04001630000131,13,cnae_fiscal
04026653000109,43,cnae_fiscal
04037609000196,6,cnae_fiscal
04037609000196,14,cnae_secundario
04037609000196,6,cnae_secundario
04037609000196,5,cnae_secundario
04047096000102,43,cnae_fiscal
04121411000196,11,cnae_fiscal
04144526000104,14,cnae_fiscal
04148527000119,6,cnae_fiscal
04148527000119,6,cnae_secundario
04148527000119,10,cnae_secundario
04148527000119,39,cnae_secundario
04163086000124,6,cnae_fiscal
04163260000139,43,cnae_fiscal
04171961000110,4,cnae_fiscal
04202857000145,11,cnae_fiscal
04202857000145,11,cnae_secundario
04218335000131,39,cnae_fiscal
04218812000169,4,cnae_fiscal
04230030000145,8,cnae_fiscal
04230532000176,43,cnae_fiscal
04241806000122,10,cnae_fiscal
04245006000180,10,cnae_fiscal
04245006000180,14,cnae_secundario
04272315000149,45,cnae_fiscal
04272315000149,45,cnae_secundario
04272315000220,45,cnae_fiscal
04272315000220,45,cnae_secundario
04292531000156,11,cnae_fiscal
04292531000156,11,cnae_secundario
04317702000154,13,cnae_fiscal
04317702000154,9,cnae_secundario
04322499000104,2,cnae_fiscal
04322499000104,28,cnae_secundario
04322499000104,2,cnae_secundario
04325102000138,4,cnae_fiscal
04334550000106,4,cnae_fiscal
04334550000289,4,cnae_fiscal
04339221000140,2,cnae_fiscal
04339221000140,2,cnae_secundario
04367120000182,6,cnae_fiscal
04383627000120,43,cnae_fiscal
04383627000120,43,cnae_secundario
04392495000100,5,cnae_fiscal
04448893000193,11,cnae_fiscal
04448893000193,8,cnae_secundario
04448893000193,11,cnae_secundario
04448893000274,11,cnae_fiscal
04448893000274,11,cnae_secundario
04448893000355,11,cnae_fiscal
04448893000355,11,cnae_secundario
04448893000436,11,cnae_fiscal
04448893000436,11,cnae_secundario
04448893000517,11,cnae_fiscal
04448893000517,8,cnae_secundario
04448893000517,11,cnae_secundario
04448893000606,11,cnae_fiscal
04458767000110,45,cnae_fiscal
04464961000108,11,cnae_fiscal
04464961000299,11,cnae_fiscal
04465355000107,13,cnae_fiscal
04465355000107,13,cnae_secundario
04488675000182,28,cnae_fiscal
04492793000164,39,cnae_fiscal
04492793000164,39,cnae_secundario
04492793000164,21,cnae_secundario
04493262000196,6,cnae_fiscal
04493262000196,6,cnae_secundario
04493262000196,10,cnae_secundario
04493262000196,39,cnae_secundario
04501693000157,43,cnae_fiscal
04501693000157,43,cnae_secundario
04503472000118,39,cnae_fiscal
04503472000118,5,cnae_secundario
04530438000132,13,cnae_fiscal
04551715000193,39,cnae_fiscal
04558597000145,43,cnae_fiscal
04573461000104,5,cnae_fiscal
04573461000104,5,cnae_secundario
04583235000104,2,cnae_fiscal
04626403000100,11,cnae_fiscal
04631265000149,43,cnae_fiscal
04631265000149,43,cnae_secundario
04670300000139,11,cnae_fiscal
04670300000139,10,cnae_secundario
04674895000109,14,cnae_fiscal
04702780000172,10,cnae_fiscal
04702780000172,18,cnae_secundario
04702780000172,15,cnae_secundario
04742626000124,11,cnae_fiscal
04771078000160,10,cnae_fiscal
04771078000160,10,cnae_secundario
04782174000104,10,cnae_fiscal
04805113000115,13,cnae_fiscal
04816712000134,11,cnae_fiscal
04822411000113,9,cnae_fiscal
