id,resposta,id_parlamentar_voz,pergunta_id
4227,0,1204451,0
4232,0,1178942,0
4253,0,1178946,0
4256,0,174254,0
4276,0,174688,0
4284,0,174693,0
4305,0,1204450,0
4313,0,1160512,0
4330,0,1141515,0
4336,0,1204477,0
4361,0,1133968,0
4366,0,1178937,0
4375,0,1178833,0
4382,0,1141439,0
4392,0,1178802,0
4406,0,1204460,0
4412,0,1196358,0
4415,0,1178941,0
4432,0,1196357,0
4478,0,173701,0
4497,0,1160631,0
4503,0,1141379,0
4515,0,1178945,0
4528,0,1160672,0
4529,0,1204454,0
4561,0,173568,0
4563,0,1160511,0
4571,0,1204443,0
4666,0,1204457,0
4673,0,1204448,0
4674,0,1115746,0
4691,0,173424,0
4716,0,1211649,0
4751,0,1160677,0
4755,0,1204463,0
4770,0,1204458,0
4786,0,1178947,0
4789,0,1204442,0
4799,0,1204444,0
4815,0,193472,0
4816,0,1193066,0
4821,0,1204440,0
4856,0,174253,0
4859,0,1141450,0
4892,0,1204455,0
4894,0,176874,0
4896,0,1178943,0
4899,0,1204461,0
4919,0,1204447,0
4920,0,1204464,0
4930,0,1152605,0
4943,0,1204476,0
4946,0,1205550,0
4965,0,1204462,0
4968,0,1204446,0
5007,0,1204441,0
5029,0,1178939,0
5046,0,1109429,0
5052,0,1204453,0
5055,0,1178948,0
5066,0,1178951,0
5067,0,1141428,0
5090,0,1141535,0
5096,0,1204473,0
5107,0,1178952,0
5136,0,1204445,0
5144,0,1141459,0
5155,0,1108338,0
5184,0,1141483,0
5195,0,1178955,0
5197,0,1204378,0
5212,0,1141508,0
5216,0,1178956,0
5220,0,1204359,0
5225,0,174177,0
5226,0,1204360,0
5232,0,174359,0
5236,0,1178954,0
5255,0,1178953,0
5271,0,1204468,0
5273,0,1160531,0
5312,0,1178961,0
5326,0,164960,0
5352,0,1204465,0
5357,0,1178958,0
5368,0,1204479,0
5376,0,1141417,0
5379,0,1178959,0
5388,0,1204475,0
5401,0,174399,0
5430,0,1178962,0
5445,0,173692,0
5449,0,174398,0
5454,0,190842,0
5457,0,175431,0
5462,0,1194261,0
5464,0,174400,0
5473,0,174395,0
5476,0,1160673,0
5494,0,1141527,0
5498,0,1204404,0
5519,0,1178835,0
5520,0,1178963,0
5541,0,1160570,0
5545,0,1160552,0
5555,0,1205863,0
5556,0,1204415,0
5561,0,1178996,0
5570,0,1160581,0
5571,0,1194262,0
5581,0,1160607,0
5584,0,173486,0
5591,0,1156190,0
5598,0,1204405,0
5638,0,1179001,0
5643,0,1204388,0
5652,0,1204403,0
5663,0,1124411,0
5667,0,173482,0
5678,0,1163321,0
5692,0,1133810,0
5695,0,1160559,0
5696,0,1178965,0
5707,0,173891,0
5718,0,173992,0
5721,0,1178964,0
5723,0,1133373,0
5732,0,1136811,0
5735,0,1204409,0
5736,0,1204406,0
5747,0,1204416,0
5757,0,1204365,0
5763,0,1204361,0
5782,0,173696,0
5805,0,1160651,0
5815,0,1204368,0
5821,0,1160515,0
5832,0,1204376,0
5837,0,1204362,0
5844,0,1141405,0
5845,0,1204367,0
5850,0,1160571,0
5883,0,1160604,0
5892,0,1164360,0
5903,0,1204369,0
5904,0,1202063,0
5912,0,174010,0
5926,0,1116379,0
5931,0,1178966,0
5941,0,1204366,0
5974,0,1204373,0
5975,0,1192120,0
5976,0,1160536,0
5996,0,1178969,0
6002,0,1204408,0
6009,0,1204385,0
6033,0,1178968,0
6037,0,1151208,0
6040,0,1178971,0
6068,0,1178970,0
6071,0,1171623,0
6073,0,168720,0
6076,0,174052,0
6109,0,1178981,0
6126,0,174262,0
6138,0,1178975,0
6143,0,1204536,0
6181,0,173434,0
6183,0,1178984,0
6190,0,1113247,0
6196,0,1178983,0
6216,0,1160659,0
6228,0,1178987,0
6250,0,1178829,0
6267,0,1178992,0
6271,0,1204529,0
6280,0,1160561,0
6295,0,1204502,0
6310,0,1204522,0
6342,0,1141555,0
6350,0,1204514,0
6357,0,1160558,0
6361,0,1204546,0
6362,0,1154178,0
6378,0,174283,0
6381,0,192346,0
6392,0,1141391,0
6410,0,1204530,0
6421,0,1178830,0
6422,0,1204501,0
6427,0,1141398,0
6441,0,173604,0
6456,0,174278,0
6503,0,173535,0
6505,0,180920,0
6514,0,1160532,0
6543,0,1204525,0
6563,0,1160589,0
6566,0,1178989,0
6567,0,1160653,0
6597,0,1204528,0
6602,0,1152610,0
6635,0,174277,0
6693,0,1160660,0
